"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",2.42,28,-1.58,4
AL-003,"Baldwin County",4.47,52,-0.9173,5.39
AL-005,"Barbour County",2.58,26,-1.5587,4.14
AL-007,"Bibb County",4,71,-0.1475,4.15
AL-009,"Blount County",4.51,83,0.4753,4.03
AL-011,"Bullock County",2.71,33,-1.2732,3.98
AL-013,"Butler County",2.07,13,-2.3515,4.42
AL-015,"Calhoun County",4.81,89,0.7474,4.06
AL-017,"Chambers County",3.74,64,-0.3519,4.09
AL-019,"Cherokee County",3.14,50,-0.7983,3.94
AL-021,"Chilton County",3.64,65,-0.4199,4.06
AL-023,"Choctaw County",2,18,-2.1488,4.15
AL-025,"Clarke County",3.14,31,-1.4049,4.54
AL-027,"Clay County",5.77,99,1.3551,4.41
AL-029,"Cleburne County",3.99,66,-0.2312,4.22
AL-031,"Coffee County",1.92,5,-2.7989,4.72
AL-033,"Colbert County",2.71,34,-1.2138,3.92
AL-035,"Conecuh County",2.22,16,-2.5566,4.78
AL-037,"Coosa County",6.38,110,2.1571,4.22
AL-039,"Covington County",2.42,13,-2.6029,5.02
AL-041,"Crenshaw County",2.32,19,-2.1463,4.47
AL-043,"Cullman County",4.55,81,0.3369,4.21
AL-045,"Dale County",2.44,14,-2.1152,4.56
AL-047,"Dallas County",2.39,27,-1.5444,3.93
AL-049,"DeKalb County",2.78,33,-1.4928,4.27
AL-051,"Elmore County",4.04,72,0.0001,4.04
AL-053,"Escambia County",3.53,31,-1.7346,5.26
AL-055,"Etowah County",3.9,70,-0.0685,3.97
AL-057,"Fayette County",2.44,23,-1.6667,4.11
AL-059,"Franklin County",3.96,67,-0.0532,4.01
AL-061,"Geneva County",2.35,10,-2.5875,4.94
AL-063,"Greene County",1.43,9,-2.2795,3.71
AL-065,"Hale County",1.8,17,-2.0733,3.87
AL-067,"Henry County",3.01,34,-1.4169,4.43
AL-069,"Houston County",3.04,28,-1.5531,4.59
AL-071,"Jackson County",2.99,34,-1.2393,4.23
AL-073,"Jefferson County",6.95,115,2.8156,4.13
AL-075,"Lamar County",2.1,19,-1.9541,4.05
AL-077,"Lauderdale County",1.76,10,-2.2749,4.03
AL-079,"Lawrence County",2.36,22,-1.7597,4.12
AL-081,"Lee County",3.06,45,-0.9348,3.99
AL-083,"Limestone County",1.19,3,-2.9585,4.15
AL-085,"Lowndes County",2.81,38,-1.1603,3.97
AL-087,"Macon County",3.02,41,-0.9287,3.95
AL-089,"Madison County",2.68,26,-1.5913,4.27
AL-091,"Marengo County",1.63,10,-2.3236,3.95
AL-093,"Marion County",3.42,48,-0.5995,4.02
AL-095,"Marshall County",5.05,91,0.9672,4.08
AL-097,"Mobile County",4.19,46,-1.1861,5.38
AL-099,"Monroe County",2.66,22,-2.0162,4.68
AL-101,"Montgomery County",3.69,67,-0.4117,4.1
AL-103,"Morgan County",2.64,27,-1.6009,4.24
AL-105,"Perry County",2.73,35,-1.1994,3.93
AL-107,"Pickens County",1.74,12,-2.0206,3.76
AL-109,"Pike County",2.27,17,-1.9244,4.19
AL-111,"Randolph County",3.94,60,-0.3354,4.28
AL-113,"Russell County",1.8,10,-1.8848,3.68
AL-115,"St. Clair County",5.38,104,1.338,4.04
AL-117,"Shelby County",6.78,114,2.5893,4.19
AL-119,"Sumter County",1.36,8,-2.4721,3.83
AL-121,"Talladega County",6.56,110,2.3805,4.18
AL-123,"Tallapoosa County",4.59,85,0.4317,4.16
AL-125,"Tuscaloosa County",3,48,-0.9993,4
AL-127,"Walker County",4.67,87,0.5178,4.15
AL-129,"Washington County",3.38,33,-1.369,4.75
AL-131,"Wilcox County",2.46,25,-1.6822,4.14
AL-133,"Winston County",4.23,72,-0.0972,4.33
AZ-001,"Apache County",0.84,107,0.3829,0.46
