"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",82.1,124,3.814,78.3
AL-003,"Baldwin County",83.2,125,3.789,79.4
AL-005,"Barbour County",81.3,118,2.681,78.6
AL-007,"Bibb County",79.8,108,2.216,77.6
AL-009,"Blount County",78.7,117,2.871,75.8
AL-011,"Bullock County",80.9,117,2.756,78.1
AL-013,"Butler County",81.5,122,3.228,78.3
AL-015,"Calhoun County",78.1,106,2.115,76
AL-017,"Chambers County",78.6,112,2.492,76.1
AL-019,"Cherokee County",78,104,1.977,76
AL-021,"Chilton County",80.5,118,3.145,77.4
AL-023,"Choctaw County",82.1,120,3.483,78.6
AL-025,"Clarke County",81.6,118,2.887,78.7
AL-027,"Clay County",77.5,110,2.408,75.1
AL-029,"Cleburne County",77,109,2.273,74.7
AL-031,"Coffee County",82.7,125,3.87,78.8
AL-033,"Colbert County",78.4,113,2.566,75.8
AL-035,"Conecuh County",81.3,117,2.333,79
AL-037,"Coosa County",79.8,119,3.142,76.7
AL-039,"Covington County",82.3,123,3.289,79
AL-041,"Crenshaw County",81.9,126,3.812,78.1
AL-043,"Cullman County",78.5,116,2.924,75.6
AL-045,"Dale County",82.6,123,3.506,79.1
AL-047,"Dallas County",82.1,121,3.536,78.6
AL-049,"DeKalb County",75.4,85,0.901,74.5
AL-051,"Elmore County",81.4,121,3.382,78
AL-053,"Escambia County",82.1,121,2.867,79.2
AL-055,"Etowah County",78.1,104,1.971,76.1
AL-057,"Fayette County",79.4,108,2.184,77.2
AL-059,"Franklin County",78.3,113,2.724,75.6
AL-061,"Geneva County",82.7,123,3.422,79.3
AL-063,"Greene County",80.8,105,2.045,78.8
AL-065,"Hale County",80.6,108,2.123,78.5
AL-067,"Henry County",82.1,123,2.839,79.3
AL-069,"Houston County",82.6,122,2.888,79.7
AL-071,"Jackson County",76.1,94,1.28,74.8
AL-073,"Jefferson County",79.1,110,2.197,76.9
AL-075,"Lamar County",80.3,111,2.881,77.4
AL-077,"Lauderdale County",77.6,108,2.163,75.4
